DEBUG 2024-12-24 23:43:13,657 autoreload File C:\anaconda3\Lib\statistics.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,657 autoreload File C:\anaconda3\Lib\hashlib.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,657 autoreload File C:\anaconda3\Lib\asyncio\base_tasks.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,657 autoreload File C:\anaconda3\Lib\site-packages\PIL\ImageMode.py first seen with mtime 1696580339.4579446
DEBUG 2024-12-24 23:43:13,657 autoreload File C:\anaconda3\Lib\site-packages\django\template\loaders\cached.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,657 autoreload File C:\anaconda3\Lib\site-packages\django\db\models\functions\__init__.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,658 autoreload File C:\anaconda3\Lib\site-packages\django\conf\urls\__init__.py first seen with mtime 1676469711.0
DEBUG 2024-12-24 23:43:13,658 autoreload File C:\anaconda3\Lib\site-packages\numpy\core\_add_newdocs_scalars.py first seen with mtime 1682983038.0
DEBUG 2024-12-24 23:43:13,658 autoreload File C:\anaconda3\Lib\site-packages\django\utils\crypto.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,658 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\comments\comment_sheet.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,658 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\utils\datetime.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,658 autoreload File C:\anaconda3\Lib\site-packages\sqlparse\cli.py first seen with mtime 1690904637.0
DEBUG 2024-12-24 23:43:13,658 autoreload File C:\anaconda3\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,659 autoreload File C:\anaconda3\Lib\http\__init__.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,659 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\drawing\effect.py first seen with mtime 1652974692.0
DEBUG 2024-12-24 23:43:13,659 autoreload File C:\anaconda3\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1676469711.0
DEBUG 2024-12-24 23:43:13,659 autoreload File C:\anaconda3\Lib\email\charset.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,659 autoreload File C:\anaconda3\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1676469712.0
DEBUG 2024-12-24 23:43:13,659 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\worksheet\protection.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,659 autoreload File C:\anaconda3\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1676469713.0
DEBUG 2024-12-24 23:43:13,659 autoreload File C:\anaconda3\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,660 autoreload File C:\anaconda3\Lib\site-packages\django\core\signing.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,660 autoreload File C:\anaconda3\Lib\site-packages\django\utils\html.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,660 autoreload File C:\anaconda3\Lib\site-packages\charset_normalizer\__init__.py first seen with mtime 1630003258.0
DEBUG 2024-12-24 23:43:13,660 autoreload File C:\anaconda3\DLLs\pyexpat.pyd first seen with mtime 1694438852.0
DEBUG 2024-12-24 23:43:13,660 autoreload File C:\anaconda3\DLLs\_bz2.pyd first seen with mtime 1694438860.0
DEBUG 2024-12-24 23:43:13,660 autoreload File C:\anaconda3\Lib\site-packages\colorama\winterm.py first seen with mtime 1676422338.0
DEBUG 2024-12-24 23:43:13,660 autoreload File C:\anaconda3\Lib\zipfile.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,660 autoreload File C:\anaconda3\Lib\site-packages\charset_normalizer\assets\__init__.py first seen with mtime 1630003258.0
DEBUG 2024-12-24 23:43:13,661 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\workbook\defined_name.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,661 autoreload File C:\anaconda3\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,661 autoreload File C:\anaconda3\Lib\site-packages\colorama\ansitowin32.py first seen with mtime 1676422338.0
DEBUG 2024-12-24 23:43:13,661 autoreload File C:\anaconda3\Lib\site-packages\django\db\backends\base\introspection.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,661 autoreload File C:\anaconda3\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1690904637.0
DEBUG 2024-12-24 23:43:13,661 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\worksheet\cell_range.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,662 autoreload File C:\anaconda3\Lib\site-packages\urllib3\_collections.py first seen with mtime 1686163281.0
DEBUG 2024-12-24 23:43:13,662 autoreload File C:\anaconda3\Lib\site-packages\django\shortcuts.py first seen with mtime 1676469710.0
DEBUG 2024-12-24 23:43:13,662 autoreload File C:\anaconda3\Lib\site-packages\environ\fileaware_mapping.py first seen with mtime 1733410962.7183273
DEBUG 2024-12-24 23:43:13,662 autoreload File C:\anaconda3\Lib\asyncio\base_subprocess.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,662 autoreload File C:\anaconda3\Lib\site-packages\brotli\__init__.py first seen with mtime 1471437879.0
DEBUG 2024-12-24 23:43:13,662 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\worksheet\page.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,662 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\cell\read_only.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,662 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\worksheet\table.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,662 autoreload File C:\anaconda3\Lib\site-packages\django\contrib\staticfiles\handlers.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,663 autoreload File C:\anaconda3\Lib\site-packages\chardet\chardistribution.py first seen with mtime 1676436166.0
DEBUG 2024-12-24 23:43:13,663 autoreload File C:\anaconda3\Lib\getpass.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,663 autoreload File C:\anaconda3\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,663 autoreload File C:\anaconda3\Lib\site-packages\django\apps\__init__.py first seen with mtime 1676469710.0
DEBUG 2024-12-24 23:43:13,663 autoreload File C:\anaconda3\Lib\site-packages\asgiref\current_thread_executor.py first seen with mtime 1676448327.0
DEBUG 2024-12-24 23:43:13,663 autoreload File C:\anaconda3\Lib\site-packages\urllib3\util\__init__.py first seen with mtime 1686163281.0
DEBUG 2024-12-24 23:43:13,663 autoreload File C:\anaconda3\Lib\asyncio\staggered.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,663 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\chart\_3d.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,663 autoreload File C:\anaconda3\Lib\bz2.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,664 autoreload File C:\anaconda3\Lib\site-packages\requests\__version__.py first seen with mtime 1690400596.0
DEBUG 2024-12-24 23:43:13,664 autoreload File C:\anaconda3\Lib\site-packages\django\template\backends\base.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,664 autoreload File C:\anaconda3\Lib\asyncio\streams.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,664 autoreload File C:\anaconda3\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,664 autoreload File C:\anaconda3\Lib\site-packages\django\template\library.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,664 autoreload File C:\anaconda3\Lib\site-packages\numpy\ma\core.py first seen with mtime 1682983039.0
DEBUG 2024-12-24 23:43:13,664 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\reader\drawings.py first seen with mtime 1652974692.0
DEBUG 2024-12-24 23:43:13,664 autoreload File C:\anaconda3\Lib\site-packages\django\core\files\utils.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,665 autoreload File C:\anaconda3\Lib\site-packages\charset_normalizer\version.py first seen with mtime 1630003258.0
DEBUG 2024-12-24 23:43:13,665 autoreload File C:\anaconda3\Lib\gzip.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,665 autoreload File C:\anaconda3\Lib\site-packages\numpy\core\numeric.py first seen with mtime 1682983038.0
DEBUG 2024-12-24 23:43:13,665 autoreload File C:\anaconda3\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,665 autoreload File C:\anaconda3\Lib\site-packages\numpy\lib\arraysetops.py first seen with mtime 1682983039.0
DEBUG 2024-12-24 23:43:13,665 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\chartsheet\chartsheet.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,665 autoreload File C:\anaconda3\Lib\site-packages\django\core\checks\compatibility\__init__.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,665 autoreload File C:\anaconda3\Lib\site-packages\mkl\_mklinit.cp311-win_amd64.pyd first seen with mtime 1682975070.0
DEBUG 2024-12-24 23:43:13,666 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\formatting\rule.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,666 autoreload File C:\anaconda3\Lib\site-packages\requests\models.py first seen with mtime 1690400596.0
DEBUG 2024-12-24 23:43:13,666 autoreload File C:\anaconda3\Lib\site-packages\django\core\files\move.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,666 autoreload File C:\anaconda3\Lib\site-packages\PIL\__init__.py first seen with mtime 1696580339.5102007
DEBUG 2024-12-24 23:43:13,666 autoreload File C:\anaconda3\Lib\site-packages\django\utils\regex_helper.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,666 autoreload File C:\anaconda3\Lib\email\errors.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,666 autoreload File C:\anaconda3\Lib\asyncio\protocols.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,667 autoreload File C:\anaconda3\Lib\linecache.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,667 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\drawing\__init__.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,667 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\drawing\colors.py first seen with mtime 1652974692.0
DEBUG 2024-12-24 23:43:13,667 autoreload File C:\anaconda3\Lib\site-packages\django\db\backends\base\base.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,667 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\descriptors\sequence.py first seen with mtime 1652974692.0
DEBUG 2024-12-24 23:43:13,667 autoreload File C:\anaconda3\Lib\site-packages\chardet\big5prober.py first seen with mtime 1676436166.0
DEBUG 2024-12-24 23:43:13,668 autoreload File C:\anaconda3\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,668 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\cell\_writer.py first seen with mtime 1652974692.0
DEBUG 2024-12-24 23:43:13,668 autoreload File C:\anaconda3\Lib\site-packages\django\db\models\constants.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,668 autoreload File C:\anaconda3\Lib\asyncio\format_helpers.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,668 autoreload File C:\anaconda3\Lib\site-packages\django\forms\renderers.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,669 autoreload File C:\anaconda3\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1676469711.0
DEBUG 2024-12-24 23:43:13,669 autoreload File C:\anaconda3\Lib\email\contentmanager.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,669 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\workbook\external_link\__init__.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,669 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\workbook\smart_tags.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,670 autoreload File C:\anaconda3\Lib\site-packages\urllib3\util\request.py first seen with mtime 1686163281.0
DEBUG 2024-12-24 23:43:13,670 autoreload File C:\anaconda3\Lib\site-packages\numpy\core\_dtype.py first seen with mtime 1682983038.0
DEBUG 2024-12-24 23:43:13,670 autoreload File C:\anaconda3\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,670 autoreload File C:\anaconda3\Lib\site-packages\lxml\etree.cp311-win_amd64.pyd first seen with mtime 1695058819.0
DEBUG 2024-12-24 23:43:13,670 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\styles\stylesheet.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,671 autoreload File C:\anaconda3\Lib\site-packages\numpy\compat\__init__.py first seen with mtime 1682983038.0
DEBUG 2024-12-24 23:43:13,671 autoreload File C:\anaconda3\Lib\dataclasses.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,671 autoreload File C:\anaconda3\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,671 autoreload File C:\anaconda3\DLLs\_sqlite3.pyd first seen with mtime 1694438861.0
DEBUG 2024-12-24 23:43:13,671 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\chartsheet\views.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,672 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\chartsheet\__init__.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,672 autoreload File C:\anaconda3\Lib\site-packages\numpy\lib\scimath.py first seen with mtime 1682983039.0
DEBUG 2024-12-24 23:43:13,672 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\packaging\relationship.py first seen with mtime 1652974692.0
DEBUG 2024-12-24 23:43:13,672 autoreload File C:\anaconda3\Lib\email\feedparser.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,673 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\pivot\table.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,673 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\worksheet\merge.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,673 autoreload File C:\anaconda3\Lib\site-packages\numpy\random\_philox.cp311-win_amd64.pyd first seen with mtime 1682983039.0
DEBUG 2024-12-24 23:43:13,673 autoreload File C:\anaconda3\Lib\site-packages\colorama\__init__.py first seen with mtime 1676422338.0
DEBUG 2024-12-24 23:43:13,673 autoreload File C:\anaconda3\Lib\site-packages\django\contrib\auth\backends.py first seen with mtime 1676469712.0
DEBUG 2024-12-24 23:43:13,674 autoreload File C:\anaconda3\Lib\site-packages\chardet\enums.py first seen with mtime 1676436166.0
DEBUG 2024-12-24 23:43:13,674 autoreload File C:\anaconda3\Lib\site-packages\PIL\_version.py first seen with mtime 1696580339.5264864
DEBUG 2024-12-24 23:43:13,674 autoreload File C:\anaconda3\Lib\site-packages\django\core\management\color.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,674 autoreload File C:\anaconda3\Lib\site-packages\django\contrib\sites\__init__.py first seen with mtime 1676469713.0
DEBUG 2024-12-24 23:43:13,674 autoreload File C:\anaconda3\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1676469712.0
DEBUG 2024-12-24 23:43:13,675 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\descriptors\base.py first seen with mtime 1652974692.0
DEBUG 2024-12-24 23:43:13,675 autoreload File C:\anaconda3\Lib\subprocess.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,675 autoreload File C:\anaconda3\Lib\site-packages\numpy\lib\ufunclike.py first seen with mtime 1682983039.0
DEBUG 2024-12-24 23:43:13,675 autoreload File C:\anaconda3\Lib\site-packages\django\contrib\auth\signals.py first seen with mtime 1676469712.0
DEBUG 2024-12-24 23:43:13,676 autoreload File C:\anaconda3\Lib\site-packages\django\db\models\query_utils.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,676 autoreload File C:\anaconda3\DLLs\_hashlib.pyd first seen with mtime 1694438861.0
DEBUG 2024-12-24 23:43:13,676 autoreload File C:\anaconda3\Lib\site-packages\django\db\backends\sqlite3\client.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,676 autoreload File C:\anaconda3\Lib\site-packages\django\utils\connection.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,676 autoreload File C:\anaconda3\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,676 autoreload File C:\anaconda3\Lib\site-packages\django\http\multipartparser.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,677 autoreload File C:\anaconda3\Lib\asyncio\events.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,677 autoreload File C:\anaconda3\Lib\site-packages\django\core\serializers\__init__.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,677 autoreload File C:\anaconda3\Lib\asyncio\tasks.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,677 autoreload File C:\anaconda3\Lib\site-packages\idna\idnadata.py first seen with mtime 1676424959.0
DEBUG 2024-12-24 23:43:13,677 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\chart\series_factory.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,677 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\utils\__init__.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,678 autoreload File C:\anaconda3\Lib\site-packages\django\template\loaders\filesystem.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,678 autoreload File C:\anaconda3\Lib\site-packages\django\contrib\sessions\__init__.py first seen with mtime 1676469713.0
DEBUG 2024-12-24 23:43:13,678 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\drawing\spreadsheet_drawing.py first seen with mtime 1652974692.0
